title,speaker,url,month,year
Community-powered solutions to the climate crisis,Rahwa Ghirmatzion and Zelalem Adefris,/talks/rahwa_ghirmatzion_and_zelalem_adefris_community_powered_solutions_to_the_climate_crisis?language=en,Feb,2021
A simple 2-step plan for saving more money,Wendy De La Rosa,/talks/wendy_de_la_rosa_a_simple_2_step_plan_for_saving_more_money?language=en,Feb,2021
"What causes dandruff, and how do you get rid of it?",Thomas L. Dawson,/talks/thomas_l_dawson_what_causes_dandruff_and_how_do_you_get_rid_of_it?language=en,Feb,2021
The artist who won a Nobel Prize... in medicine,Melanie E. Peffer,/talks/melanie_e_peffer_the_artist_who_won_a_nobel_prize_in_medicine?language=en,Feb,2021
A concrete idea to reduce carbon emissions,Karen Scrivener,/talks/karen_scrivener_a_concrete_idea_to_reduce_carbon_emissions?language=en,Feb,2021
How a green economy could work for you,Angela Francis,/talks/angela_francis_how_a_green_economy_could_work_for_you?language=en,Feb,2021
"Why didn't this 2,000 year old body decompose?",Carolyn Marshall,/talks/carolyn_marshall_why_didn_t_this_2_000_year_old_body_decompose?language=en,Feb,2021
How technology changes our sense of right and wrong,Juan Enriquez,/talks/juan_enriquez_how_technology_changes_our_sense_of_right_and_wrong?language=en,Feb,2021
"TikTok, Instagram, Snapchat — and the rise of bite-sized content",Qiuqing Tai,/talks/qiuqing_tai_tiktok_instagram_snapchat_and_the_rise_of_bite_sized_content?language=en,Feb,2021
What if every satellite suddenly disappeared?,Moriba Jah,/talks/moriba_jah_what_if_every_satellite_suddenly_disappeared?language=en,Feb,2021
How a geospatial nervous system could help us design a better future,Jack Dangermond,/talks/jack_dangermond_how_a_geospatial_nervous_system_could_help_us_design_a_better_future?language=en,Feb,2021
The world's most dangerous fart,Nick Caruso and Dani Rabaiotti,/talks/nick_caruso_and_dani_rabaiotti_the_world_s_most_dangerous_fart?language=en,Feb,2021
How to avoid catching prickly emotions from other people ,Jessica Woods,/talks/jessica_woods_how_to_avoid_catching_prickly_emotions_from_other_people?language=en,Jan,2021
Why bats don't get sick,Arinjay Banerjee,/talks/arinjay_banerjee_why_bats_don_t_get_sick?language=en,Jan,2021
A brief history of divorce,Rod Phillips,/talks/rod_phillips_a_brief_history_of_divorce?language=en,Jan,2021
A stealthy reimagining of urban public space,Elizabeth Diller,/talks/elizabeth_diller_a_stealthy_reimagining_of_urban_public_space?language=en,Jan,2021
The joy of shopping — and how to recapture it online,Nimisha Jain,/talks/nimisha_jain_the_joy_of_shopping_and_how_to_recapture_it_online?language=en,Jan,2021
The Japanese myth of the trickster raccoon,Iseult Gillespie,/talks/iseult_gillespie_the_japanese_myth_of_the_trickster_raccoon?language=en,Jan,2021
The 15-minute city,Carlos Moreno,/talks/carlos_moreno_the_15_minute_city?language=en,Jan,2021
My journey mapping the uncharted world,Tawanda Kanhema,/talks/tawanda_kanhema_my_journey_mapping_the_uncharted_world?language=en,Jan,2021
The rise of the Ottoman Empire,Mostafa Minawi,/talks/mostafa_minawi_the_rise_of_the_ottoman_empire?language=en,Jan,2021
How vulnerability makes you a better leader,Tracy Young,/talks/tracy_young_how_vulnerability_makes_you_a_better_leader?language=en,Jan,2021
Who decides how long a second is?,John Kitching,/talks/john_kitching_who_decides_how_long_a_second_is?language=en,Jan,2021
How a strong creative industry helps economies thrive,Mehret Mandefro,/talks/mehret_mandefro_how_a_strong_creative_industry_helps_economies_thrive?language=en,Jan,2021
How bad data keeps us from good AI,Mainak Mazumdar,/talks/mainak_mazumdar_how_bad_data_keeps_us_from_good_ai?language=en,Jan,2021
How your brain responds to stories — and why they're crucial for leaders,Karen Eber,/talks/karen_eber_how_your_brain_responds_to_stories_and_why_they_re_crucial_for_leaders?language=en,Jan,2021
Savitri and Satyavan: The legend of the princess who outwitted Death,Iseult Gillespie,/talks/iseult_gillespie_savitri_and_satyavan_the_legend_of_the_princess_who_outwitted_death?language=en,Jan,2021
4 tips to kickstart honest conversations at work,Betsy Kauffman,/talks/betsy_kauffman_4_tips_to_kickstart_honest_conversations_at_work?language=en,Jan,2021
How carbon capture networks could help curb climate change,Bas Sudmeijer,/talks/bas_sudmeijer_how_carbon_capture_networks_could_help_curb_climate_change?language=en,Jan,2021
"These squids can fly... no, really",Robert Siddall,/talks/robert_siddall_these_squids_can_fly_no_really?language=en,Jan,2021
6 essential lessons for women leaders ,Julia Gillard and Ngozi Okonjo-Iweala,/talks/julia_gillard_and_ngozi_okonjo_iweala_6_essential_lessons_for_women_leaders?language=en,Jan,2021
How AI can help shatter barriers to equality,Jamila Gordon,/talks/jamila_gordon_how_ai_can_help_shatter_barriers_to_equality?language=en,Jan,2021
A day in the life of an ancient Babylonian business mogul,Soraya Field Fiorio,/talks/soraya_field_fiorio_a_day_in_the_life_of_an_ancient_babylonian_business_mogul?language=en,Jan,2021
The 1-minute secret to forming a new habit,Christine Carter,/talks/christine_carter_the_1_minute_secret_to_forming_a_new_habit?language=en,Jan,2021
How to turn moments into momentum,Renee Montgomery,/talks/renee_montgomery_how_to_turn_moments_into_momentum?language=en,Jan,2021
The counterintuitive way to be more persuasive,Niro Sivanathan,/talks/niro_sivanathan_the_counterintuitive_way_to_be_more_persuasive?language=en,Jan,2021
"Why should you read Toni Morrison's ""Beloved""?",Yen Pham,/talks/yen_pham_why_should_you_read_toni_morrison_s_beloved?language=en,Jan,2021
3 ways companies can support grieving employees,Tilak Mandadi,/talks/tilak_mandadi_3_ways_companies_can_support_grieving_employees?language=en,Jan,2021
The life cycle of a cup of coffee,A.J. Jacobs,/talks/a_j_jacobs_the_life_cycle_of_a_cup_of_coffee?language=en,Jan,2021
How we could make carbon-negative concrete,Tom Schuler,/talks/tom_schuler_how_we_could_make_carbon_negative_concrete?language=en,Jan,2021
How do personality tests work?,Merve Emre,/talks/merve_emre_how_do_personality_tests_work?language=en,Dec,2020
The strange history of the world's most stolen painting,Noah Charney,/talks/noah_charney_the_strange_history_of_the_world_s_most_stolen_painting?language=en,Dec,2020
6 big ethical questions about the future of AI ,Genevieve Bell,/talks/genevieve_bell_6_big_ethical_questions_about_the_future_of_ai?language=en,Dec,2020
The shadow pandemic of domestic violence during COVID-19,Kemi DaSilva-Ibru,/talks/kemi_dasilva_ibru_the_shadow_pandemic_of_domestic_violence_during_covid_19?language=en,Dec,2020
3 bizarre (and delightful) ancient theories about bird migration,Lucy Cooke,/talks/lucy_cooke_3_bizarre_and_delightful_ancient_theories_about_bird_migration?language=en,Dec,2020
"Financial inclusion, the digital divide and other thoughts on the future of money",Ajay Banga,/talks/ajay_banga_financial_inclusion_the_digital_divide_and_other_thoughts_on_the_future_of_money?language=en,Dec,2020
What happens when you die? A poetic inquiry,Emily Dickinson,/talks/emily_dickinson_what_happens_when_you_die_a_poetic_inquiry?language=en,Dec,2020
Who counts as a speaker of a language?,Anna Babel,/talks/anna_babel_who_counts_as_a_speaker_of_a_language_dec_2020?language=en,Dec,2020
An innovative way to support children with special needs,Billy Samuel Mwape,/talks/billy_samuel_mwape_an_innovative_way_to_support_children_with_special_needs?language=en,Dec,2020
Can you win a game of quantum foosball?,Matteo Fadel,/talks/matteo_fadel_can_you_win_a_game_of_quantum_foosball?language=en,Dec,2020
How to be an upstander instead of a bystander,Angélique Parisot-Potter,/talks/angelique_parisot_potter_how_to_be_an_upstander_instead_of_a_bystander?language=en,Dec,2020
A strategy for supporting and listening to others,Jeremy Brewer,/talks/jeremy_brewer_a_strategy_for_supporting_and_listening_to_others?language=en,Dec,2020
Building the world's largest (and most controversial) power plant,Alex Gendler,/talks/alex_gendler_building_the_world_s_largest_and_most_controversial_power_plant?language=en,Dec,2020
Why monkeys (and humans) are wired for fairness,Sarah Brosnan,/talks/sarah_brosnan_why_monkeys_and_humans_are_wired_for_fairness?language=en,Dec,2020
How creative writing can help you through life's hardest moments,Sakinah Hofler,/talks/sakinah_hofler_how_creative_writing_can_help_you_through_life_s_hardest_moments?language=en,Dec,2020
Can you solve the monster duel riddle?,Alex Gendler,/talks/alex_gendler_can_you_solve_the_monster_duel_riddle?language=en,Dec,2020
The legacy of matriarchs in the Yukon First Nations,Kluane Adamek,/talks/kluane_adamek_the_legacy_of_matriarchs_in_the_yukon_first_nations?language=en,Dec,2020
The world's largest organism,Alex Rosenthal,/talks/alex_rosenthal_the_world_s_largest_organism?language=en,Dec,2020
The end of globalization (and the beginning of something new),Mike O'Sullivan,/talks/mike_o_sullivan_the_end_of_globalization_and_the_beginning_of_something_new?language=en,Dec,2020
Fossil fuel companies know how to stop global warming. Why don't they?,Myles Allen,/talks/myles_allen_fossil_fuel_companies_know_how_to_stop_global_warming_why_don_t_they?language=en,Dec,2020
